Company,Code,Last Price
29METALS LIMITED,29M,1.15
LIFE360 INC.,360,4.67
5E ADVANCED MATERIALS INC.,5EA,0.94
THE A2 MILK COMPANY LIMITED,A2M,5.90
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC,1.54
AUSWIDE BANK LTD,ABA,5.68
AUSSIE BROADBAND LIMITED,ABB,3.20
ADBRI LIMITED,ABC,1.63
ABACUS PROPERTY GROUP,ABP,2.55
GLOBAL X BATTERY TECH & LITHIUM ETF,ACDC,92.90
AUSTRALIAN CLINICAL LABS LIMITED,ACL,3.68
AUDINATE GROUP LIMITED,AD8,8.81
ADAIRS LIMITED,ADH,2.05
ADRIATIC METALS PLC,ADT,3.74
AUSTRALIAN ETHICAL INVESTMENT LIMITED,AEF,2.86
AUSTRALIAN FINANCE GROUP LTD,AFG,1.40
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AFI,7.32
ANGLOGOLD ASHANTI LIMITED,AGG,6.23
AGL ENERGY LIMITED.,AGL,7.04
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA,8.22
ALLKEM LIMITED,AKE,10.53
AUDIO PIXELS HOLDINGS LIMITED,AKP,8.20
AMPOL LIMITED,ALD,30.48
ARISTOCRAT LEISURE LIMITED,ALL,35.72
ALS LIMITED,ALQ,11.38
ALTIUM LIMITED,ALU,37.24
ATLAS ARTERIA,ALX,6.53
AMCOR PLC,AMC,16.42
ANSELL LIMITED,ANN,26.72
ANZ GROUP HOLDINGS LIMITED,ANZ,23.18
APA GROUP,APA,10.01
EAGERS AUTOMOTIVE LIMITED,APE,13.30
APM HUMAN SERVICES INTERNATIONAL LIMITED,APM,2.14
APPEN LIMITED,APX,2.73
ALLIANCE AVIATION SERVICES LIMITED,AQZ,3.45
ARB CORPORATION LIMITED.,ARB,32.38
ARENA REIT.,ARF,3.52
ARGO INVESTMENTS LIMITED,ARG,8.99
AUSTAL LIMITED,ASB,1.75
AUTOSPORTS GROUP LIMITED.,ASG,2.17
BETASHARES ASIA TECHNOLOGY TIGERS ETF,ASIA,7.21
ASX LIMITED,ASX,66.50
BETASHARES S&P/ASX AUSTRALIAN TECHNOLOGY ETF,ATEC,16.99
AUB GROUP LIMITED,AUB,25.63
AVITA MEDICAL INC.,AVH,4.07
ACCENT GROUP LIMITED,AX1,2.19
AURIZON HOLDINGS LIMITED,AZJ,3.38
BAPCOR LIMITED,BAP,6.56
BABY BUNTING GROUP LIMITED,BBN,1.88
BETASHARES AUSTRALIAN STRONG BEAR (HEDGE FUND),BBOZ,3.67
BETASHARES AUSTRALIAN EQUITIES BEAR (HEDGE FUND),BEAR,8.64
BENDIGO AND ADELAIDE BANK LIMITED,BEN,9.16
BSP FINANCIAL GROUP LIMITED,BFL,4.88
BEGA CHEESE LIMITED,BGA,3.24
BHP GROUP LIMITED,BHP,43.59
BLACKMORES LIMITED,BKL,72.02
BRICKWORKS LIMITED,BKW,22.90
BORAL LIMITED.,BLD,3.49
BEACON LIGHTING GROUP LIMITED,BLX,1.77
BOART LONGYEAR GROUP LTD,BLY,2.10
BANNERMAN ENERGY LTD,BMN,1.34
BOSS ENERGY LTD,BOE,2.12
BANK OF QUEENSLAND LIMITED.,BOQ,6.64
BEACH ENERGY LIMITED,BPT,1.35
BREVILLE GROUP LIMITED,BRG,19.18
BLUESCOPE STEEL LIMITED,BSL,19.77
BEST & LESS GROUP HOLDINGS LTD,BST,1.93
BWP TRUST,BWP,3.72
BRAMBLES LIMITED,BXB,13.18
CARSALES.COM LIMITED.,CAR,21.52
COMMONWEALTH BANK OF AUSTRALIA.,CBA,98.28
CREDIT CORP GROUP LIMITED,CCP,16.69
CODAN LIMITED,CDA,5.36
CARINDALE PROPERTY TRUST,CDP,4.49
