Ex date,Type,Code,Company,Terms (Dividend return per share)
16/03/2023,Dividend,DTL,DATA#3 LIMITED,$0.10
16/03/2023,Dividend,IGO,IGO LIMITED,$0.14
16/03/2023,Dividend,PWH,PWR HOLDINGS LIMITED,$0.04
16/03/2023,Dividend,REG,REGIS HEALTHCARE LIMITED,$0.02
17/03/2023,Dividend,CAR,CARSALES.COM LIMITED.,$0.29
20/03/2023,Dividend,ADH,ADAIRS LIMITED,$0.08
20/03/2023,Dividend,HUB,HUB24 LIMITED,$0.14
20/03/2023,Dividend,NWH,NRW HOLDINGS LIMITED,$0.09
21/03/2023,Dividend,CCP,CREDIT CORP GROUP LIMITED,$0.23
21/03/2023,Dividend,COH,COCHLEAR LIMITED,$1.55
21/03/2023,Dividend,REH,REECE LIMITED,$0.08
22/03/2023,Dividend,SEK,SEEK LIMITED,$0.24
22/03/2023,Dividend,SNL,SUPPLY NETWORK LIMITED,$0.20
27/03/2023,Dividend,ACL,AUSTRALIAN CLINICAL LABS LIMITED,$0.07
28/03/2023,Dividend,CWP,CEDAR WOODS PROPERTIES LIMITED,$0.13
30/03/2023,Dividend,RFF,RURAL FUNDS GROUP,$0.03
31/03/2023,Dividend,HVN,HARVEY NORMAN HOLDINGS LIMITED,$0.13
5/04/2023,Dividend,ARB,ARB CORPORATION LIMITED.,$0.32
5/04/2023,Dividend,IMD,IMDEX LIMITED,$0.02
5/04/2023,Dividend,RIC,RIDLEY CORPORATION LIMITED,$0.04
11/04/2023,Dividend,SVW,SEVEN GROUP HOLDINGS LIMITED,$0.23
13/04/2023,Dividend,BST,BEST & LESS GROUP HOLDINGS LTD,$0.08
15/05/2023,Dividend,WAM,WAM CAPITAL LIMITED,$0.08
16/05/2023,Dividend,ASG,AUTOSPORTS GROUP LIMITED.,$0.09
